ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
rtr.0,send_bit_count,port0,Accumulator,388136534000,0,3153824,5595665408,2840,0,2048
rtr.0,send_packet_count,port0,Accumulator,388136534000,0,2840,2840,2840,1,1
rtr.0,output_port_stalls,port0,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port0,Accumulator,388136534000,0,388037976000,17027515189028554752,2841,6000,2063628000
rtr.0,width_adj_count,port0,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_packet_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,output_port_stalls,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port1,Accumulator,388136534000,0,388136534000,13856919620957503744,1,388136534000,388136534000
rtr.0,width_adj_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port2,Accumulator,388136534000,0,3153824,5595665408,2840,0,2048
rtr.0,send_packet_count,port2,Accumulator,388136534000,0,2840,2840,2840,1,1
rtr.0,output_port_stalls,port2,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port2,Accumulator,388136534000,0,388037976000,2934696049511003136,2841,44000,2074636000
rtr.0,width_adj_count,port2,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_packet_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,output_port_stalls,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port3,Accumulator,388136534000,0,388136534000,13856919620957503744,1,388136534000,388136534000
rtr.0,width_adj_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port4,Accumulator,388136534000,0,3153824,5595665408,2840,0,2048
rtr.0,send_packet_count,port4,Accumulator,388136534000,0,2840,2840,2840,1,1
rtr.0,output_port_stalls,port4,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port4,Accumulator,388136534000,0,388037976000,6043876006859899904,2514,76000,2237366000
rtr.0,width_adj_count,port4,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port5,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_packet_count,port5,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,output_port_stalls,port5,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port5,Accumulator,388136534000,0,388136534000,13856919620957503744,1,388136534000,388136534000
rtr.0,width_adj_count,port5,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,send_bit_count,port6,Accumulator,388136534000,0,8806368,16275643392,6879,0,2048
rtr.0,send_packet_count,port6,Accumulator,388136534000,0,6879,6879,6879,1,1
rtr.0,output_port_stalls,port6,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,idle_time,port6,Accumulator,388136534000,0,387035726000,16003396474035003136,2008,154000,1918070000
rtr.0,width_adj_count,port6,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,xbar_stalls,port0,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,xbar_stalls,port1,Accumulator,388136534000,0,8201,8201,8201,1,1
rtr.0,xbar_stalls,port2,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,xbar_stalls,port3,Accumulator,388136534000,0,10169,10169,10169,1,1
rtr.0,xbar_stalls,port4,Accumulator,388136534000,0,0,0,0,0,0
rtr.0,xbar_stalls,port5,Accumulator,388136534000,0,18752,18752,18752,1,1
rtr.0,xbar_stalls,port6,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_bit_count,port0,Accumulator,388136534000,0,3151648,5591454720,2838,0,2048
rtr.1,send_packet_count,port0,Accumulator,388136534000,0,2838,2838,2838,1,1
rtr.1,output_port_stalls,port0,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,idle_time,port0,Accumulator,388136534000,0,388038044000,1796690034175003136,2839,48000,2066868000
rtr.1,width_adj_count,port0,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_bit_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_packet_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,output_port_stalls,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,idle_time,port1,Accumulator,388136534000,0,388136534000,13856919620957503744,1,388136534000,388136534000
rtr.1,width_adj_count,port1,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_bit_count,port2,Accumulator,388136534000,0,3143104,5590904832,2839,0,2048
rtr.1,send_packet_count,port2,Accumulator,388136534000,0,2839,2839,2839,1,1
rtr.1,output_port_stalls,port2,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,idle_time,port2,Accumulator,388136534000,0,388038312000,8124690314356554752,2840,192000,2133734000
rtr.1,width_adj_count,port2,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_bit_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_packet_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,output_port_stalls,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,idle_time,port3,Accumulator,388136534000,0,388136534000,13856919620957503744,1,388136534000,388136534000
rtr.1,width_adj_count,port3,Accumulator,388136534000,0,0,0,0,0,0
rtr.1,send_bit_count,port4,Accumulator,388136534000,0,3143104,5590904832,2838,0,2048
