ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
rtr.0,send_bit_count,port0,Accumulator,1244388186000,0,11394976,22576698368,6740,0,2048
rtr.0,send_packet_count,port0,Accumulator,1244388186000,0,6740,6740,6740,1,1
rtr.0,output_port_stalls,port0,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,idle_time,port0,Accumulator,1244388186000,0,1244032092000,6607873069332834304,6741,6000,7142620000
rtr.0,width_adj_count,port0,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_bit_count,port1,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_packet_count,port1,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,output_port_stalls,port1,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,idle_time,port1,Accumulator,1244388186000,0,1244388186000,8472932895995146496,1,1244388186000,1244388186000
rtr.0,width_adj_count,port1,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_bit_count,port2,Accumulator,1244388186000,0,11394976,22576698368,6740,0,2048
rtr.0,send_packet_count,port2,Accumulator,1244388186000,0,6740,6740,6740,1,1
rtr.0,output_port_stalls,port2,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,idle_time,port2,Accumulator,1244388186000,0,1244032092000,10164703399631282688,6741,44000,7155940000
rtr.0,width_adj_count,port2,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_bit_count,port3,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_packet_count,port3,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,output_port_stalls,port3,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,idle_time,port3,Accumulator,1244388186000,0,1244388186000,8472932895995146496,1,1244388186000,1244388186000
rtr.0,width_adj_count,port3,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,send_bit_count,port4,Accumulator,1244388186000,0,11394976,22576698368,6740,0,2048
rtr.0,send_packet_count,port4,Accumulator,1244388186000,0,6740,6740,6740,1,1
rtr.0,output_port_stalls,port4,Accumulator,1244388186000,0,0,0,0,0,0
rtr.0,idle_time,port4,Accumulator,1244388186000,0,1244032092000,4149583244475524608,6414,76000,7227762000
rtr.0,width_adj_count,port4,Accumulator,1244388186000,0,0,0,0,0,0
