ComponentName,StatisticName,StatisticSubId,StatisticType,SimTime,Rank,Sum.u64,SumSQ.u64,Count.u64,Min.u64,Max.u64
rtr.0,send_bit_count,port0,Accumulator,113041268000,0,2728416,5263631360,1859,0,2048
rtr.0,send_packet_count,port0,Accumulator,113041268000,0,1859,1859,1859,1,1
rtr.0,output_port_stalls,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,idle_time,port0,Accumulator,113041268000,0,112956004000,1954409493359345152,1860,6000,743298000
rtr.0,width_adj_count,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,send_bit_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,send_packet_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,output_port_stalls,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,idle_time,port1,Accumulator,113041268000,0,113041268000,13181372040814281728,1,113041268000,113041268000
rtr.0,width_adj_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,send_bit_count,port2,Accumulator,113041268000,0,2726240,5259420672,1857,0,2048
rtr.0,send_packet_count,port2,Accumulator,113041268000,0,1857,1857,1857,1,1
rtr.0,output_port_stalls,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,idle_time,port2,Accumulator,113041268000,0,112700484000,1911004318815345152,667,56000,743106000
rtr.0,width_adj_count,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port3,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port4,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port5,Accumulator,113041268000,0,0,0,0,0,0
rtr.0,xbar_stalls,port6,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,send_bit_count,port0,Accumulator,113041268000,0,2726240,5259420672,1857,0,2048
rtr.1,send_packet_count,port0,Accumulator,113041268000,0,1857,1857,1857,1,1
rtr.1,output_port_stalls,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,idle_time,port0,Accumulator,113041268000,0,112956072000,1951598243879345152,1858,6000,743298000
rtr.1,width_adj_count,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,send_bit_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,send_packet_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,output_port_stalls,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,idle_time,port1,Accumulator,113041268000,0,113041268000,13181372040814281728,1,113041268000,113041268000
rtr.1,width_adj_count,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,send_bit_count,port2,Accumulator,113041268000,0,2728416,5263631360,1859,0,2048
rtr.1,send_packet_count,port2,Accumulator,113041268000,0,1859,1859,1859,1,1
rtr.1,output_port_stalls,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,idle_time,port2,Accumulator,113041268000,0,112700212000,1913801890887345152,652,156000,743106000
rtr.1,width_adj_count,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port0,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port1,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port2,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port3,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port4,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port5,Accumulator,113041268000,0,0,0,0,0,0
rtr.1,xbar_stalls,port6,Accumulator,113041268000,0,0,0,0,0,0
